Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,Policy Against Child Labor,Pct Women in Workforce,Fatalities - Employees,Fatalities - Total,Total Recordable Incident Rate - Employees,Number of Employees - CSR,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Total Energy Consumption,Total Water Withdrawal,Human Rights Policy,Equal Opportunity Policy,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Waste Reduction Policy,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Market Cap Category,Country
AKITA Drilling Ltd,AKT.A,2023,1.09,0.0,0.47,4.15,32.763,1.087,15.931,81.096,22.403380067567568,False,429.6283333333333,234.60007450980393,True,26.508317841079464,0.20775193798449612,0.9289256198347108,4.2,600.0,21.621951219512194,4.0,4.0,4.0,100.0,8.0,3.0,7.0,4.0,100.0,4.0,4.0,3.0,100.0,1.0,3.0,61.0,84.0,6.0,4.0,4.0,3.0,100.0,1.0,341.7038493150685,423.77154455445543,True,False,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,Small Cap,Canada
ARC Resources Ltd,ARX,2015,4.97,4.18,5.09,6.26,52.057,37.844,33.223,84.979,3.049,False,727.207,351.649,False,32.0,0.0,0.0,0.32,560.0,14.0,4.0,4.0,6.0,100.0,10.0,11.0,9.0,10.0,96.67,4.0,4.0,6.0,100.0,2.0,1.0,53.0,71.0,8.0,4.0,4.0,5.0,91.67,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,False,False,False,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2016,5.57,4.22,5.25,8.54,54.15,37.844,33.223,91.24,3.273,False,641.337,339.757,False,30.0,0.0,0.0,0.4,464.0,15.0,3.0,3.0,5.0,100.0,11.0,13.0,10.0,9.0,99.4,4.0,4.0,4.0,90.0,2.0,2.0,54.0,72.0,9.0,4.0,4.0,5.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,False,False,True,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2017,5.37,4.04,5.17,8.16,53.023,34.461,33.223,91.24,4.072,False,685.432,326.013,False,27.0,0.0,0.0,0.64,471.0,1.0,3.0,3.0,5.0,100.0,11.0,12.0,10.0,7.0,98.57,3.0,3.0,4.0,100.0,2.0,2.0,55.0,73.0,9.0,4.0,4.0,5.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,False,False,True,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2018,5.42,4.12,5.41,7.92,53.023,34.461,33.223,91.24,4.075,False,636.615,258.98,False,27.0,0.0,0.0,0.64,444.0,2.0,3.0,3.0,4.0,100.0,10.0,11.0,9.0,7.0,98.46,3.0,3.0,5.0,100.0,2.0,2.0,56.0,72.0,9.0,3.0,3.0,5.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,False,False,True,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2019,6.53,5.46,7.19,7.78,53.305,35.307,33.223,91.24,3.509,False,505.159,129.283,False,26.0,0.0,0.0,0.23,438.0,3.0,3.0,3.0,5.0,100.0,10.0,10.0,9.0,7.0,100.0,3.0,3.0,6.0,100.0,2.0,2.0,57.0,73.0,9.0,3.0,3.0,5.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2020,5.9,4.94,5.45,8.18,53.305,35.307,33.223,91.24,2.815,False,516.128,101.431,False,26.0,0.0,0.0,0.7,422.0,4.0,3.0,3.0,7.0,100.0,10.0,8.0,9.0,10.0,100.0,3.0,3.0,6.0,100.0,2.0,2.0,52.0,74.0,9.0,3.0,3.0,6.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2021,5.45,4.67,4.42,8.08,53.465,38.689,38.362,83.233,6.25,False,429.6283333333333,41.531,False,29.0,0.0,0.0,0.18,522.0,5.0,4.0,4.0,3.0,94.09853801169591,12.0,12.0,11.0,12.0,93.34091862068965,4.0,4.0,6.0,100.0,4.0,5.0,52.0,70.0,10.0,3.0,3.0,4.0,93.79323809523811,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,Mid Cap,Canada
ARC Resources Ltd,ARX,2022,5.15,3.84,4.81,8.11,58.958,47.961,39.934,88.862,6.495,False,429.6283333333333,49.941,False,29.0,0.0,0.0,0.55,584.0,6.0,3.0,3.0,5.0,100.0,11.0,12.0,10.0,9.0,93.34091862068965,3.0,3.0,6.0,94.11,4.0,5.0,53.0,71.0,9.0,3.0,3.0,5.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,Mid Cap,Canada
Advantage Energy Ltd,AAV,2015,1.95,0.63,0.62,7.38,34.111,2.839,15.024,84.287,22.403380067567568,False,89.709,234.60007450980393,False,26.508317841079464,0.20775193798449612,0.9289256198347108,0.84,26.0,9.0,3.0,3.0,4.0,100.0,6.0,3.0,5.0,8.0,100.0,5.0,5.0,3.0,100.0,0.0,0.0,48.0,74.0,5.0,5.0,5.0,3.0,100.0,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,Small Cap,Canada
