Target,MSE,RMSE,MAE,R-squared
BESG ESG Score,0.7288016191710015,0.8536987871439209,0.6573636960115049,0.6794426236207347
BESG Environmental Pillar Score,1.752068771365973,1.3236573466596153,1.008306716042944,0.5946016627211242
BESG Social Pillar Score,1.2186378990486004,1.1039193353903176,0.843063526387828,0.6246859966157028
BESG Governance Pillar Score,0.6035155601363739,0.7768626391688391,0.579339731387845,0.6641388826579788
ESG Disclosure Score,48.479558559923305,6.962726374052287,5.156172570536927,0.7777185875063667
Environmental Disclosure Score,148.7343104479474,12.195667691764458,9.367369578671168,0.7571187086626083
Social Disclosure Score,65.92938669585811,8.11969129313782,6.140306555107687,0.7426850798646432
Governance Disclosure Score,64.99706509311768,8.0620757310458,4.473287989273897,0.5701085570835734
