Target,MSE,RMSE,MAE,R-squared
BESG ESG Score,0.9811572081747169,0.99053379961247,0.7972410595653411,0.5684461008390056
BESG Environmental Pillar Score,2.323888198581302,1.5244304505556499,1.2185116226725434,0.4622925611576493
BESG Social Pillar Score,1.9445692449253646,1.394478126370351,1.1301610287539792,0.40111490973594577
BESG Governance Pillar Score,0.6849721751408017,0.8276304580794509,0.628789774232122,0.6188076409512961
ESG Disclosure Score,110.34357908343685,10.504455201648339,7.849978140821008,0.4940686890134901
Environmental Disclosure Score,310.05356143159014,17.60833783841025,13.72927278325412,0.4936863649183566
Social Disclosure Score,168.29340256147722,12.972794708985308,10.58978148920658,0.3431699336263585
Governance Disclosure Score,109.60544880937165,10.469262094788327,6.8352368638912,0.27506812080423426
