,,,,,,,,,,,
List Manager - Companies,,,,,,,,,,,
List Name,BC3406 Project,,,,,,,,,,
Entity Type,Company -> Companies,Owner,HsunWen Sun,,,,,,,,
List Description,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Company,Ticker,Source,Market Cap ($M),Price ($),YTD Price Change (%),PE (x),,,,,
"LG Chem, Ltd. (KOSE:A051910)",A051910 (KOSE),Static,13058.8,175.19,0.4,-,,,,,
Lotte Chemical Corporation (KOSE:A011170),A011170 (KOSE),Static,2074.9,49.21,17.9,-,,,,,
Lotte Chemical Titan Holding Berhad (KLSE:LCTITAN),LCTITAN (KLSE),Static,242.3,0.11,-26.6,-,,,,,
LyondellBasell Industries N.V. (NYSE:LYB),LYB (NYSE),Static,24966.6,76.96,3.6,-,,,,,
Marathon Oil Corporation (NYSE:MRO),MRO (NYSE),Static,15971.2,-,-,-,,,,,
MEG Energy Corp. (TSX:MEG),MEG (TSX),Static,4150.8,15.95,-4,-,,,,,
"Mesquite Energy, Inc. (OTCPK:SN)",SN (OTCPK),Static,-,-,-,-,,,,,
MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság (BUSE:MOL),MOL (BUSE),Static,4896.5,7.7,8.9,-,,,,,
Murphy Oil Corporation (NYSE:MUR),MUR (NYSE),Static,3983,27.31,-9.7,-,,,,,
National Energy Services Reunited Corp. (NASDAQCM:NESR),NESR (NASDAQCM),Static,874.8,9.17,2.3,-,,,,,
"Naturgy Energy Group, S.A. (BME:NTGY)",NTGY (BME),Static,25524.5,26.57,8.7,-,,,,,
Navigator Ethylene Terminals LLC,-,Static,-,-,-,-,,,,,
NuVista Energy Ltd. (TSX:NVA),NVA (TSX),Static,1803.9,8.86,-9,-,,,,,
Origin Energy Limited (ASX:ORG),ORG (ASX),Static,11648.6,6.79,-2.3,-,,,,,
Orlen S.A. (WSE:PKN),PKN (WSE),Static,17607.8,15.17,27.9,-,,,,,
"Ormat Technologies, Inc. (NYSE:ORA)",ORA (NYSE),Static,4163.2,68.82,1.6,35.11,,,,,
Ovintiv Inc. (NYSE:OVV),OVV (NYSE),Static,11274.7,43.31,6.9,-,,,,,
Paramount Resources Ltd. (TSX:POU),POU (TSX),Static,1837.6,12.42,-44.5,-,,,,,
Parex Resources Inc. (TSX:PXT),PXT (TSX),Static,1030.8,10.5,2.3,-,,,,,
Parkland Corporation (TSX:PKI),PKI (TSX),Static,4569.4,26.27,14.8,-,,,,,
Paz Retail And Energy Ltd. (TASE:PAZ),PAZ (TASE),Static,1621.3,151.69,19.9,-,,,,,
PBF Energy Inc. (NYSE:PBF),PBF (NYSE),Static,2675.3,23.2,-12.6,-,,,,,
"PDC Energy, Inc. (NASDAQGM:PDCE)",PDCE (NASDAQGM),Static,-,-,-,-,,,,,
Pembina Pipeline Corporation (TSX:PPL),PPL (TSX),Static,21033.9,36.23,-3.1,15.64,,,,,
Petrofac Limited (LSE:PFC),PFC (LSE),Static,47.2,0.09,-15.9,-,,,,,
PETRONAS Gas Berhad (KLSE:PETGAS),PETGAS (KLSE),Static,7837,3.96,-1,-,,,,,
Petróleo Brasileiro S.A. - Petrobras (BOVESPA:PETR4),PETR4 (BOVESPA),Static,91837.1,6.73,6.1,-,,,,,
Petróleos Mexicanos,-,Static,-,-,-,-,,,,,
Peyto Exploration & Development Corp. (TSX:PEY),PEY (TSX),Static,2321.1,11.66,-3.3,-,,,,,
Phillips 66 (NYSE:PSX),PSX (NYSE),Static,52503.4,128.78,13,-,,,,,
"Plains All American Pipeline, L.P. (NASDAQGS:PAA)",PAA (NASDAQGS),Static,14411.1,20.48,19.9,28.05,,,,,
Posco International Corporation (KOSE:A047050),A047050 (KOSE),Static,5537.8,32.49,17.4,-,,,,,
PTT Exploration and Production Public Company Limited (SET:PTTEP),PTTEP (SET),Static,14968.4,3.77,6.3,-,,,,,
"Repsol, S.A. (BME:REP)",REP (BME),Static,15372.2,13.28,8.7,-,,,,,
Sahara International Petrochemical Company (SASE:2310),2310 (SASE),Static,4280.4,5.9,-11.1,-,,,,,
Saipem SpA (BIT:SPM),SPM (BIT),Static,4749.9,2.43,-7.5,-,,,,,
Santos Limited (ASX:STO),STO (ASX),Static,13799.5,4.26,0,-,,,,,
Sapura Energy Berhad (KLSE:SAPNRG),SAPNRG (KLSE),Static,124.8,0.01,0,-,,,,,
Saudi Arabian Oil Company (SASE:2222),2222 (SASE),Static,1788482.1,7.39,-1.2,-,,,,,
Senex Energy Pty Ltd (ASX:SXY),SXY (ASX),Static,-,-,-,-,,,,,
Seven Generations Energy Ltd. (TSX:VII),VII (TSX),Static,-,-,-,-,,,,,
"Shelf Drilling, Ltd. (OB:SHLF)",SHLF (OB),Static,195.7,0.76,-9.6,-,,,,,
Shell plc (LSE:SHEL),SHEL (LSE),Static,203885.9,33.34,6.5,-,,,,,
Snam S.p.A. (BIT:SRG),SRG (BIT),Static,15681.5,4.68,4.6,-,,,,,
Southwestern Energy Company (NYSE:SWN),SWN (NYSE),Static,7841.6,-,-,NM,,,,,
Suncor Energy Inc. (TSX:SU),SU (TSX),Static,49084.4,39.55,9.5,-,,,,,
Teck Resources Limited (TSX:TECK.B),TECK.B (TSX),Static,20726.1,41.18,0.4,75.00,,,,,
