,,,,,,,,,
ITC Holdings Corp (ITC US) - Overview,,,,,,,,,
,,,,,,,,,
In Millions of USD except Per Share,,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015
    Growth (YoY),COMPENSATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,
Diversity,,,,,,,,,
Number of Female Executives,NUMBER_OF_FEMALE_EXECUTIVES,—,—,1.00,1.00,1.00,1.00,2.00,2.00
Number of Women on Board,NUMBER_OF_WOMEN_ON_BOARD,—,—,1.00,1.00,1.00,1.00,1.00,1.00
Age of the Youngest Director,AGE_OF_YOUNGEST_DIRECTOR,—,—,58.00,46.00,48.00,49.00,49.00,51.00
Age of the Oldest Director,AGE_OF_OLDEST_DIRECTOR,—,—,73.00,74.00,75.00,77.00,78.00,79.00
,,,,,,,,,
Independence,,,,,,,,,
Number of Independent Directors,INDEPENDENT_DIRECTORS,6.00,6.00,6.00,9.00,9.00,8.00,9.00,8.00
,,,,,,,,,
Nominations & Governance Oversight,,,,,,,,,
Size of Nomination Committee,SIZE_OF_NOMINATION_COMMITTEE,—,—,3.00,4.00,4.00,4.00,4.00,4.00
Num of Independent Directors on Nomination Cmte,NUM_IND_DIR_ON_NOM_CMTE,—,—,3.00,4.00,4.00,4.00,4.00,4.00
Number of Nomination Committee Meetings,NUM_OF_NOMINATION_CMTE_MTG,—,—,4.00,6.00,4.00,5.00,5.00,5.00
Nomination Committee Meeting Attendance Percentage,NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,75.00,75.00,75.00,75.00,75.00,75.00
    Growth (YoY),NOMINATION_CMTE_MTG_ATTEND_PCT,—,—,—,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,
Sustainability Governance,,,,,,,,,
Verification Type,VERIFICATION_TYPE,No,No,No,No,No,No,No,No
Employee CSR Training,EMPLOYEE_CSR_TRAINING,No,No,No,No,No,No,No,No
,,,,,,,,,
Tenure,,,,,,,,,
Board Duration (Years),BOARD_DURATION,—,—,1.00,1.00,1.00,1.00,1.00,1.00
,,,,,,,,,
Source: Bloomberg,,Right click to show data transparency (not supported for all values),,,,,,,
