Company,Ticker,Market Cap ($M)
Texas Oil & Chemical Co. II Inc.,-,
TGS ASA (OB:TGS),TGS,1989.5
"Tokyo Gas Co.,Ltd. (TSE:9531)",9531,11923.6
TotalEnergies SE (ENXTPA:TTE),TTE,136561.9
Tourmaline Oil Corp. (TSX:TOU),TOU,18342.8
Transocean Ltd. (NYSE:RIG),RIG,2953.1
Valero Energy Corporation (NYSE:VLO),VLO,42656.7
Veren Inc. (TSX:VRN),VRN,3084.2
Vermilion Energy Inc. (TSX:VET),VET,1380.5
Vistra Corp. (NYSE:VST),VST,51183.6
"Vital Energy, Inc. (NYSE:VTLE)",VTLE,1044.3
Viva Energy Group Limited (ASX:VEA),VEA,2471.2
Vivo Energy Limited (LSE:VVO),VVO,
Weatherford International plc (NASDAQGS:WFRD),WFRD,4770.0
"Western Midstream Partners, LP (NYSE:WES)",WES,15652.2
Westlake Chemical Partners LP (NYSE:WLKP),WLKP,853.5
Westshore Terminals Investment Corporation (TSX:WTE),WTE,1021.0
Whitecap Resources Inc. (TSX:WCP),WCP,4127.3
Woodside Energy Group Ltd (ASX:WDS),WDS,28096.9
YPF Sociedad Anónima (BASE:YPFD),YPFD,16830.8
,,
