Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,VOC Emissions,Particulate Emissions,Sulphur Dioxide / Sulphur Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,GHG Scope 3,Carbon per Unit of Production,Fuel Used - Natural Gas,Energy Per Unit of Production,Policy Against Child Labor,Community Spending,Gender Pay Gap Breakout,Pct Women in Middle and or Other Management,Pct Women in Workforce,Fatalities - Employees,Fatalities - Contractors,Fatalities - Total,Lost Time Incident Rate - Employees,Lost Time Incident Rate - Contractors,Lost Time Incident Rate - Workforce,Total Recordable Incident Rate - Employees,Total Recordable Incident Rate - Contractors,Total Recordable Incident Rate - Workforce,Number of Employees - CSR,Number of Contractors,Employee Turnover Pct,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Board Age Limit,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Carbon Monoxide Emissions,CO2 Scope 1,Scope of Disclosure,Total Energy Consumption,Electricity Used,Total Waste,Waste Recycled,Waste Sent to Landfills,Total Water Withdrawal,Total Water Discharged,Water Consumption,Human Rights Policy,Equal Opportunity Policy,Pct Women in Senior Management,Pct Minorities in Workforce,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Pct Employees Unionized,Employee Training Cost,Total Hours Spent by Firm - Employee Training,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Fuel Used - Coal/Lignite,Fuel Used - Crude Oil/Diesel,Waste Reduction Policy,Hazardous Waste,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Quality Assurance and Recall Policy,Consumer Data Protection Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Renewable Energy Use,80%+ Workforce Gender Pay Gap Waterfall,Political Donations,Company Conducts Board Evaluations,Company Has Executive Share Ownership Guidelines,Director Share Ownership Guidelines,GHG Scope 2 Market-Based,Self Generated Renewable Electricity,Pct Minorities in Management,Pct Disabled in Workforce,Percentage Gender Pay Gap for Senior Management,Percentage Gender Pay Gap Mid & Other Management,CO2 Scope 2 Location-Based,Water per Unit of Production,Pct Recycled Materials,Number of Suppliers Audited,Percentage Suppliers Audited,Number of Supplier Audits Conducted,Number Supplier Facilities Audited,Percentage of Suppliers in Non-Compliance,ODS Emissions,Number of Customer Complaints,Transition Plan Claim,Adopts TNFD Recommendations,Zero Deforestation Policy,Board Level Oversight of Biodiversity,Executive Level Oversight of Biodiversity,Company Discloses Employee Engagement Score,Indep Directors,Raw Materials Used,Percentage Gender Pay Gap Employees Ex Management,Percentage Raw Material from Sustainable Sources,"Revenue, Adj","Net Income, Adj",Margin %,"EPS, Adj",Market Cap ($M),Market Cap Category
Brookfield Corp,BN,2007,,,,,27.04,0.00,2.78,78.15,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,4.00,4.00,5.00,100.00,16.00,7.00,,12.00,90.62,5.00,5.00,2.00,90.00,0.00,2.00,,42.00,79.00,12.00,5.00,5.00,1.00,100.00,1.00,,,,,,,,,,,,No,No,,,Yes,No,No,No,,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2008,,,,,27.19,0.00,3.23,78.15,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,4.00,4.00,3.00,100.00,16.00,9.00,,7.00,95.57,5.00,5.00,2.00,100.00,1.00,2.00,,43.00,80.00,12.00,4.00,4.00,2.00,100.00,1.00,,,,,,,,,,,,No,No,,,Yes,No,Yes,No,,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2009,,,,,27.19,0.00,3.23,78.15,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,4.00,4.00,5.00,100.00,16.00,9.00,,10.00,91.80,5.00,5.00,2.00,100.00,2.00,2.00,,44.00,81.00,12.00,4.00,4.00,3.00,91.67,1.00,,,,,,,,,,,,No,No,,,Yes,No,Yes,No,,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2010,,,,,28.82,0.00,3.23,83.02,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,30.00,4.00,4.00,7.00,100.00,16.00,7.00,12.00,8.00,96.18,5.00,5.00,2.00,100.00,1.00,1.00,,45.00,82.00,12.00,4.00,4.00,4.00,100.00,1.00,,,,,,,,,,,,No,No,,,Yes,No,Yes,No,,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2011,,,,,28.82,0.00,3.23,83.02,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,31.00,4.00,4.00,5.00,100.00,15.00,16.00,14.00,6.00,98.89,4.00,4.00,2.00,100.00,0.00,1.00,,46.00,83.00,11.00,4.00,4.00,2.00,100.00,1.00,,,,,,,,,,,,No,No,,,Yes,No,Yes,No,,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2012,,,,,29.04,0.00,6.41,80.52,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,32.00,4.00,4.00,9.00,,16.00,7.00,14.00,7.00,97.20,3.00,3.00,3.00,100.00,1.00,2.00,,47.00,84.00,12.00,4.00,4.00,3.00,100.00,1.00,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2013,,,,,30.69,2.45,6.41,83.02,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,33.00,3.00,3.00,6.00,92.85,16.00,5.00,14.00,10.00,92.20,3.00,3.00,2.00,100.00,0.00,2.00,,48.00,85.00,11.00,3.00,3.00,3.00,100.00,1.00,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,,,,No,Yes,No,No,Yes,,,No,,No,Yes,Yes,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2014,,,,,30.41,1.60,6.41,83.02,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,34.00,3.00,3.00,5.00,100.00,16.00,5.00,14.00,9.00,95.31,3.00,3.00,2.00,100.00,0.00,2.00,,49.00,86.00,10.00,3.00,3.00,4.00,100.00,1.00,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,,,,No,Yes,No,No,Yes,,,No,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2015,2.09,0.00,0.76,7.87,31.17,1.93,6.41,84.98,,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,,,35.00,4.00,4.00,8.00,100.00,16.00,8.00,14.00,9.00,95.86,3.00,3.00,3.00,100.00,0.00,4.00,,50.00,75.00,10.00,3.00,3.00,3.00,88.89,1.00,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,,,,No,Yes,No,No,Yes,,,No,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2016,2.14,0.00,0.90,7.67,31.52,1.93,7.44,84.98,,,,,Yes,,,,,,,No,,,,,,,,,,,,,,,,,36.00,4.00,4.00,9.00,94.44,16.00,9.00,14.00,10.00,98.12,3.00,3.00,2.00,100.00,1.00,4.00,,51.00,76.00,10.00,3.00,3.00,3.00,100.00,1.00,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,Yes,No,,,,No,Yes,No,No,Yes,,,No,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2017,2.30,0.00,1.24,7.39,39.38,20.39,12.61,84.98,,,,,Yes,0.3,1.5,3.3,,106.3,,No,,,,44.00,,,,,,,,,,"1,190.00",,,37.00,3.00,3.00,7.00,100.00,16.00,10.00,14.00,9.00,96.32,3.00,3.00,2.00,100.00,1.00,4.00,,52.00,77.00,10.00,3.00,3.00,2.00,100.00,1.00,,,,5.6,3.2,0.2,0.1,,,,25.1,Yes,Yes,,,Yes,Yes,Yes,No,,,,No,Yes,No,No,Yes,,0.0,No,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2018,2.91,0.77,1.93,7.12,39.65,21.20,12.61,84.98,,,,,Yes,0.4,1.5,4.2,,123.7,,No,,,,45.00,,,,,,,,,,"1,615.00",,,38.00,4.00,4.00,8.00,96.42,16.00,8.00,13.00,10.00,98.70,3.00,3.00,2.00,100.00,1.00,4.00,,53.00,78.00,10.00,3.00,3.00,2.00,100.00,1.00,,,,6.2,3.4,0.2,0.1,,,,27.8,Yes,Yes,,,Yes,Yes,Yes,No,,,,No,Yes,Yes,No,Yes,,0.0,Yes,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2019,2.90,0.76,1.93,7.10,40.68,22.62,14.27,84.98,,,,,Yes,0.4,1.8,4.5,,142.3,,Yes,,,,45.00,,,,,,,,,,"1,615.00",,,39.00,4.00,4.00,7.00,92.85,15.00,8.00,12.00,9.00,97.12,3.00,3.00,3.00,100.00,0.00,4.00,,54.00,79.00,9.00,3.00,3.00,3.00,100.00,1.00,,,,8.0,4.8,0.3,0.2,,,,35.8,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,No,Yes,Yes,No,Yes,,0.0,Yes,,No,Yes,No,,,No,No,No,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2020,3.54,3.40,2.01,6.93,43.30,22.62,15.84,91.24,,,,,Yes,0.4,1.8,1.2,,145.4,,Yes,,,,45.00,,,,,,,,,,"1,854.00",,,40.00,5.00,5.00,8.00,96.88,16.00,10.00,13.00,8.00,100.00,3.00,3.00,2.00,100.00,0.00,5.00,,55.00,80.00,10.00,3.00,3.00,3.00,100.00,1.00,,,,8.0,4.3,0.1,0.1,,,,26.6,Yes,Yes,,45.00,Yes,Yes,Yes,Yes,,,,No,Yes,Yes,No,Yes,,0.0,Yes,,No,Yes,No,,,No,No,Yes,,,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2021,3.59,3.71,2.01,6.88,43.58,23.47,15.84,91.24,,,,,Yes,0.4,2.1,2.6,,198.5,,Yes,,,,46.00,,,,,,,,,,"2,380.00",,,41.00,4.00,4.00,8.00,100.00,16.00,10.00,13.00,10.00,100.00,3.00,3.00,2.00,100.00,0.00,6.00,,56.00,81.00,10.00,3.00,3.00,3.00,100.00,1.00,,,,9.5,4.9,0.2,0.1,,,,30.4,Yes,Yes,,39.00,Yes,Yes,Yes,Yes,,,,No,Yes,Yes,No,Yes,,0.0,Yes,,No,Yes,Yes,,,No,No,Yes,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2022,4.97,3.74,4.52,6.70,48.63,37.84,16.63,91.24,,,,,Yes,0.5,2.2,10.9,,225.4,,Yes,,,,45.00,,,,,,,,,,"2,708.00",,,42.00,3.00,3.00,8.00,100.00,15.00,6.00,12.00,8.00,99.21,2.00,2.00,3.00,100.00,0.00,6.00,,57.00,82.00,9.00,3.00,3.00,4.00,100.00,1.00,,,,11.0,5.7,0.2,0.1,,,,45.6,Yes,Yes,,40.00,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,No,Yes,,0.0,Yes,,Yes,Yes,Yes,,,No,No,Yes,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Brookfield Corp,BN,2023,4.99,3.77,4.52,6.76,47.48,34.40,16.63,91.24,,,,,Yes,0.4,2.3,21.8,,,,Yes,,,,46.00,,,,,,,,,,"2,690.00",,,43.00,3.00,3.00,8.00,95.83,14.00,3.00,11.00,8.00,95.68,3.00,3.00,2.00,100.00,0.00,6.00,,58.00,83.00,8.00,3.00,3.00,3.00,100.00,1.00,,,,10.8,4.6,0.3,0.2,,,,40.6,Yes,Yes,,41.00,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,No,Yes,,,Yes,,Yes,Yes,Yes,,,No,No,Yes,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2010,,,,,28.287,0.000,7.920,76.761,,,,,No,,,,,,,No,,,,,,,,,,,,,,859.000,,,25.000,3.000,3.000,34.000,75.000,7.000,7.000,6.000,7.000,75.000,3.000,3.000,7.000,75.000,0.000,0.000,,48.000,69.000,5.000,3.000,3.000,,,3.000,,,,,,,,,,,,No,No,,,Yes,No,No,No,18.040,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2011,,,,,30.379,0.000,7.920,83.022,,,,,No,,,,,,,No,,,,,,,,,,,,,,"1,029.000",,,26.000,3.000,3.000,7.000,75.000,8.000,8.000,7.000,11.000,75.000,3.000,3.000,8.000,75.000,1.000,0.000,,49.000,70.000,6.000,3.000,3.000,8.000,75.000,3.000,,,,,,,,,,,,No,No,,,Yes,No,No,No,17.590,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2012,,,,,31.586,0.000,11.548,83.022,,,,,No,,,,,,,No,,,,,,,,,,,,,,"1,020.000",,,27.000,3.000,3.000,8.000,75.000,9.000,8.000,8.000,12.000,75.000,3.000,3.000,8.000,75.000,1.000,0.000,,50.000,71.000,6.000,3.000,3.000,5.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,18.630,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2013,,,,,31.586,0.000,11.548,83.022,,,,,No,,,,,,,No,,,,,,,,,,,,,,"1,270.000",,,28.000,3.000,3.000,9.000,75.000,10.000,6.000,9.000,13.000,75.000,4.000,4.000,8.000,75.000,0.000,1.000,,51.000,72.000,8.000,3.000,3.000,8.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,24.400,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2014,,,,,31.586,0.000,11.548,83.022,,,,,No,,,,,,,No,,,,,,,,,,,,,,"1,430.000",,,29.000,4.000,4.000,8.000,75.000,11.000,9.000,10.000,17.000,75.000,4.000,4.000,8.000,75.000,0.000,2.000,,56.000,73.000,10.000,3.000,3.000,7.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,22.370,,,No,No,No,No,No,,,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2015,2.570,0.700,1.060,7.840,32.512,0.483,12.576,84.287,,,,,No,,,,,,,No,,,,,,,,,,,,,,"1,490.000",,,30.000,4.000,4.000,8.000,75.000,11.000,9.000,10.000,13.000,75.000,4.000,4.000,6.000,75.000,0.000,2.000,,57.000,74.000,10.000,4.000,4.000,6.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,20.800,,,No,No,No,No,No,,,Yes,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2016,2.220,0.700,0.000,7.890,33.719,0.483,16.203,84.287,,,,,No,,,,,,,No,,,,,,,,,,0.260,,,0.360,"1,865.000",,,31.000,4.000,4.000,8.000,75.000,10.000,8.000,9.000,11.000,75.000,5.000,5.000,7.000,75.000,0.000,2.000,,58.000,75.000,9.000,5.000,5.000,5.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,19.490,,,No,No,No,No,No,,,Yes,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2017,2.150,0.700,0.000,7.540,33.719,0.483,16.203,84.287,,,,,No,,,,,,,No,,,,,,,,,,0.100,,,0.360,"1,870.000",,,32.000,4.000,4.000,8.000,75.000,10.000,9.000,9.000,12.000,75.000,5.000,5.000,8.000,75.000,0.000,2.000,,59.000,76.000,9.000,5.000,5.000,6.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,21.390,,,No,No,No,No,No,,,Yes,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Buckeye Partners LP,BPL,2018,2.530,0.870,0.670,7.690,34.252,2.084,16.203,84.287,,,,,No,,,,,,,No,,,,,,,,,,0.000,,,0.120,"1,850.000",,,33.000,4.000,4.000,11.000,75.000,10.000,9.000,9.000,23.000,75.000,5.000,5.000,6.000,75.000,0.000,2.000,,60.000,77.000,9.000,5.000,5.000,6.000,75.000,3.000,,,,,,,,,,,,No,Yes,,,Yes,Yes,Yes,No,15.135,,,No,Yes,No,No,Yes,,,Yes,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown
Bumi Armada Bhd,BAB,2014,,,,,30.631,4.621,9.704,77.393,,,,,No,,,,,,,No,,No,,,0.000,0.000,0.000,,,,,,,,,,,4.000,3.000,8.000,96.420,8.000,14.000,5.000,27.000,91.320,3.000,2.000,6.000,100.000,0.000,2.000,,37.000,59.000,3.000,3.000,3.000,6.000,,3.000,,,,,,,,,142.000,,,No,Yes,,,Yes,No,Yes,Yes,,,,No,Yes,No,No,Yes,,,Yes,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2015,2.040,0.550,2.340,4.400,37.894,11.719,23.851,77.965,,,,,No,540.000,1.000,,,,,No,,No,,28.400,,,,0.054,,0.060,0.468,,0.460,"1,664.000",,,,4.000,3.000,6.000,100.000,8.000,7.000,6.000,11.000,93.820,3.000,2.000,5.000,100.000,1.000,2.000,,38.000,60.000,4.000,3.000,3.000,7.000,,3.000,,,,"1,044.150",1.425,,,,126.000,,,No,Yes,,,Yes,Yes,Yes,Yes,,,"13,312.000",Yes,Yes,No,No,No,,96.000,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2016,2.380,0.620,2.780,5.190,36.687,11.719,20.224,77.965,,,,,No,497.000,0.700,,,,,No,,No,,41.000,,,,0.024,,,0.146,,,"2,234.000",,,,4.000,3.000,5.000,100.000,9.000,7.000,7.000,10.000,90.580,3.000,2.000,5.000,100.000,1.000,2.000,,39.000,61.000,4.000,4.000,4.000,5.000,,3.000,,,,728.754,1.016,,,,114.000,,,No,Yes,,,Yes,Yes,Yes,Yes,,,"20,106.000",Yes,Yes,No,No,No,,67.000,No,,No,No,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2017,2.320,0.770,2.160,5.380,38.698,12.564,22.279,81.096,,,,,No,486.000,0.650,,,,,No,,No,,,,,1.000,0.090,,0.100,0.210,,,"1,762.000",,,,3.000,2.000,5.000,94.730,7.000,12.000,6.000,13.000,93.060,3.000,2.000,6.000,100.000,2.000,2.000,,40.000,64.000,4.000,4.000,3.000,6.000,96.000,3.000,,,,631.083,1.101,,,,133.000,,,No,Yes,,,Yes,Yes,Yes,Yes,,,"18,324.801",Yes,Yes,No,No,No,,58.000,No,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2018,2.500,0.810,2.700,5.360,37.833,12.564,19.680,81.096,,,,,No,595.800,0.600,,,,,No,,No,,,,,,0.120,,,0.180,,,"1,537.000",,,,4.000,3.000,4.000,93.330,7.000,9.000,6.000,14.000,91.670,3.000,2.000,5.000,93.330,3.000,2.000,,41.000,65.000,3.000,4.000,3.000,5.000,95.000,3.000,,,,452.752,0.903,,,,119.300,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"23,055.000",Yes,Yes,No,No,No,,41.600,No,,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2019,3.600,2.130,4.040,5.500,51.584,46.602,26.935,81.096,3.499,1.244,,0.192,No,66.050,0.510,,,,0.400,No,,No,,,0.000,0.000,0.000,0.000,,,0.300,,0.290,"1,220.000",,,,3.000,3.000,5.000,100.000,6.000,8.000,5.000,8.000,97.400,3.000,2.000,6.000,94.330,2.000,2.000,,42.000,66.000,3.000,4.000,3.000,4.000,87.500,3.000,1.612,,,932.701,0.797,0.550,,,165.400,,165.400,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"23,058.000",Yes,Yes,No,No,No,,85.800,No,0.166,No,Yes,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2020,3.770,2.150,4.140,6.010,53.184,43.552,28.507,87.357,3.867,1.260,,0.151,No,49.270,0.400,,,,0.425,No,,No,,45.000,0.000,0.000,0.000,0.000,,,0.100,,0.090,"1,114.000",,,,3.000,2.000,8.000,100.000,6.000,9.000,5.000,16.000,100.000,3.000,2.000,5.000,100.000,2.000,2.000,,44.000,67.000,3.000,4.000,3.000,5.000,100.000,3.000,1.710,,,960.629,0.629,0.764,,,,,151.700,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"20,831.801",Yes,Yes,Yes,No,No,,88.300,No,0.238,No,No,Yes,,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2021,4.070,3.040,4.140,5.540,52.580,43.552,26.693,87.357,3.953,1.215,,0.152,No,18.140,0.300,,,,0.425,No,,No,,43.000,0.000,0.000,0.000,0.110,,,0.270,,,928.000,,,,3.000,2.000,7.000,100.000,7.000,8.000,6.000,13.000,100.000,4.000,3.000,5.000,100.000,2.000,2.000,,45.000,68.000,4.000,4.000,3.000,5.000,100.000,3.000,1.689,,,800.532,0.532,0.783,,,,,96.100,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"30,618.000",Yes,Yes,Yes,No,No,,76.400,No,0.280,No,No,Yes,,,No,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2022,4.170,3.370,4.170,5.370,58.334,47.055,40.478,87.357,3.675,1.034,,0.156,Yes,12.290,0.340,0.675,,,0.422,Yes,,No,,43.000,0.000,0.000,0.000,0.106,,,0.316,,,879.000,,,,3.000,2.000,6.000,100.000,8.000,9.000,7.000,13.000,97.890,4.000,3.000,5.000,100.000,3.000,2.000,,46.000,69.000,4.000,4.000,3.000,5.000,100.000,3.000,1.692,,,775.034,0.536,0.563,,,,,98.340,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"30,589.000",Yes,Yes,Yes,No,Yes,,77.400,Yes,0.109,No,Yes,Yes,,,No,No,Yes,,,0.000,,,,,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
Bumi Armada Bhd,BAB,2023,4.530,3.370,5.080,5.690,57.811,47.055,38.906,87.357,3.621,1.167,,0.144,Yes,1.850,0.400,0.960,,,0.472,Yes,,No,,44.000,0.000,0.000,0.000,0.000,,,0.056,,,788.000,,,,3.000,2.000,5.000,100.000,6.000,9.000,5.000,7.000,88.000,3.000,2.000,4.000,100.000,3.000,1.000,,52.000,77.000,3.000,4.000,3.000,5.000,100.000,3.000,1.790,,,678.081,0.646,0.525,,,,,88.000,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"33,096.000",Yes,Yes,Yes,No,Yes,,67.700,Yes,0.136,No,Yes,Yes,,,No,No,Yes,,,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,771.4,Small Cap
CNOOC Ltd,883,2014,,,,,45.418,23.195,29.897,83.022,,,,,No,,,,,"1,552,000.000",,Yes,9.100,,,14.610,0.000,1.000,1.000,0.040,,0.040,0.070,,0.130,"21,046.000",,,2.000,3.000,3.000,4.000,100.000,10.000,11.000,8.000,5.000,100.000,3.000,2.000,2.000,100.000,0.000,0.000,,51.000,70.000,4.000,3.000,2.000,1.000,100.000,3.000,,,,"31,334.199",112.000,,,,,,,Yes,Yes,,,No,Yes,Yes,Yes,,,"1,502,340.000",No,Yes,Yes,No,Yes,,321.552,No,,Yes,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116930.5,Mega Cap
CNOOC Ltd,883,2015,2.880,1.380,4.310,4.490,41.344,9.997,32.678,81.216,,,,,Yes,,,,,"1,732,000.000",,Yes,47.000,,,11.630,0.000,0.000,0.000,0.010,,0.020,0.090,,0.110,"20,585.000",,,3.000,3.000,3.000,4.000,100.000,8.000,12.000,6.000,7.000,,3.000,2.000,2.000,100.000,0.000,0.000,,52.000,71.000,4.000,3.000,2.000,2.000,100.000,3.000,,,,"22,559.900",146.000,,,,,,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,"1,151,930.000",No,Yes,Yes,No,Yes,,387.092,No,,No,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116930.5,Mega Cap
